File Name,Size,inode,Permission,User,Group,Access Time,Modify Time,Change Time
./phpmyadmin/locale/pt_BR/LC_MESSAGES/phpmyadmin.mo,277736,659289,0644,root,root,2020-10-29 19:33:23.189082999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.193080999
./phpmyadmin/locale/nl,4096,659275,0755,root,root,2020-10-29 19:33:23.177088999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.181086999
./phpmyadmin/locale/nl/LC_MESSAGES,4096,659276,0755,root,root,2020-10-29 19:33:23.177088999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.181086999
./phpmyadmin/locale/nl/LC_MESSAGES/phpmyadmin.mo,290072,659277,0644,root,root,2020-10-29 19:33:23.177088999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.181086999
./phpmyadmin/locale/ro,4096,659215,0755,root,root,2020-10-29 19:33:23.129113000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.129113000
./phpmyadmin/locale/ro/LC_MESSAGES,4096,659216,0755,root,root,2020-10-29 19:33:23.129113000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.129113000
./phpmyadmin/locale/ro/LC_MESSAGES/phpmyadmin.mo,165448,659217,0644,root,root,2020-10-29 19:33:23.129113000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.129113000
./phpmyadmin/locale/gl,4096,659248,0755,root,root,2020-10-29 19:33:23.157099000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.161097000
./phpmyadmin/locale/gl/LC_MESSAGES,4096,659249,0755,root,root,2020-10-29 19:33:23.157099000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.161097000
./phpmyadmin/locale/gl/LC_MESSAGES/phpmyadmin.mo,296009,659250,0644,root,root,2020-10-29 19:33:23.157099000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.161097000
./phpmyadmin/locale/zh_TW,4096,659299,0755,root,root,2020-10-29 19:33:23.197079000,2013-04-08 12:06:51.000000000,2020-10-29 19:33:23.201077000
./phpmyadmin/locale/zh_TW/LC_MESSAGES,4096,659300,0755,root,root,2020-10-29 19:33:23.197079000,2013-04-08 12:06:51.000000000,2020-10-29 19:33:23.201077000
